image,expected,pre_num_allowed_detections,pre_result,pre_processing_time,post_num_allowed_detections,post_result,post_processing_time,difference_flag,improvement_status
With_Signs_time(16)_fog(25)_rain(0)_92.jpg,With_Signs,1,TP,0.0071,0,FN,0.0076,Yes,Worsened
With_Signs_time(16)_fog(90)_rain(25)_110.jpg,With_Signs,1,TP,0.0127,1,TP,0.0076,No,No change
No_Signs_time(13)_fog(75)_rain(0)_9.jpg,No_Signs,0,TN,0.0063,0,TN,0.0061,No,No change
With_Signs_time(16)_fog(0)_rain(0)_66.jpg,With_Signs,0,FN,0.0055,0,FN,0.0061,No,No change
No_Signs_time(8)_fog(25)_rain(15)_286.jpg,No_Signs,0,TN,0.0061,0,TN,0.0084,No,No change
With_Signs_time(8)_fog(90)_rain(0)_164.jpg,With_Signs,1,TP,0.0060,1,TP,0.0065,No,No change
No_Signs_time(16)_fog(25)_rain(0)_197.jpg,No_Signs,0,TN,0.0066,0,TN,0.0063,No,No change
With_Signs_time(13)_fog(0)_rain(0)_326.jpg,With_Signs,2,TP,0.0107,2,TP,0.0070,No,No change
No_Signs_time(9)_fog(25)_rain(0)_41.jpg,No_Signs,0,TN,0.0056,0,TN,0.0062,No,No change
With_Signs_time(16)_fog(0)_rain(25)_80.jpg,With_Signs,0,FN,0.0146,0,FN,0.0083,No,No change
No_Signs_time(13)_fog(75)_rain(0)_5.jpg,No_Signs,0,TN,0.0057,0,TN,0.0060,No,No change
No_Signs_time(5)_fog(25)_rain(15)_243.jpg,No_Signs,0,TN,0.0059,0,TN,0.0062,No,No change
With_Signs_time(8)_fog(90)_rain(0)_169.jpg,With_Signs,1,TP,0.0073,1,TP,0.0063,No,No change
No_Signs_time(5)_fog(25)_rain(15)_231.jpg,No_Signs,0,TN,0.0056,0,TN,0.0071,No,No change
With_Signs_time(22)_fog(0)_rain(25)_134.jpg,With_Signs,0,FN,0.0063,0,FN,0.0082,No,No change
No_Signs_time(6)_fog(25)_rain(0)_260.jpg,No_Signs,0,TN,0.0069,0,TN,0.0065,No,No change
No_Signs_time(9)_fog(25)_rain(0)_28.jpg,No_Signs,0,TN,0.0059,0,TN,0.0063,No,No change
No_Signs_time(6)_fog(25)_rain(0)_265.jpg,No_Signs,0,TN,0.0065,0,TN,0.0062,No,No change
No_Signs_time(5)_fog(25)_rain(15)_234.jpg,No_Signs,0,TN,0.0063,0,TN,0.0061,No,No change
No_Signs_time(6)_fog(25)_rain(0)_279.jpg,No_Signs,0,TN,0.0056,0,TN,0.0076,No,No change
No_Signs_time(6)_fog(25)_rain(0)_264.jpg,No_Signs,0,TN,0.0062,0,TN,0.0062,No,No change
No_Signs_time(9)_fog(25)_rain(0)_35.jpg,No_Signs,0,TN,0.0058,0,TN,0.0069,No,No change
No_Signs_time(6)_fog(25)_rain(0)_252.jpg,No_Signs,0,TN,0.0056,0,TN,0.0058,No,No change
No_Signs_time(13)_fog(75)_rain(0)_11.jpg,No_Signs,0,TN,0.0060,0,TN,0.0060,No,No change
With_Signs_time(16)_fog(0)_rain(0)_343.jpg,With_Signs,0,FN,0.0058,0,FN,0.0065,No,No change
With_Signs_time(16)_fog(0)_rain(25)_79.jpg,With_Signs,0,FN,0.0062,0,FN,0.0057,No,No change
With_Signs_time(16)_fog(0)_rain(25)_86.jpg,With_Signs,0,FN,0.0061,1,TP,0.0071,Yes,Improved
With_Signs_time(6)_fog(0)_rain(0)_345.jpg,With_Signs,0,FN,0.0056,0,FN,0.0065,No,No change
No_Signs_time(16)_fog(25)_rain(0)_183.jpg,No_Signs,0,TN,0.0058,0,TN,0.0070,No,No change
With_Signs_time(16)_fog(0)_rain(0)_335.jpg,With_Signs,1,TP,0.0061,1,TP,0.0071,No,No change
No_Signs_time(5)_fog(25)_rain(15)_221.jpg,No_Signs,0,TN,0.0058,0,TN,0.0066,No,No change
With_Signs_time(8)_fog(0)_rain(0)_147.jpg,With_Signs,1,TP,0.0075,1,TP,0.0063,No,No change
With_Signs_time(8)_fog(0)_rain(0)_151.jpg,With_Signs,1,TP,0.0070,2,TP,0.0068,Yes,Improved
With_Signs_time(8)_fog(0)_rain(0)_156.jpg,With_Signs,1,TP,0.0061,1,TP,0.0122,No,No change
No_Signs_time(8)_fog(25)_rain(15)_306.jpg,No_Signs,0,TN,0.0115,0,TN,0.0074,No,No change
No_Signs_time(6)_fog(25)_rain(0)_269.jpg,No_Signs,0,TN,0.0061,0,TN,0.0117,No,No change
No_Signs_time(16)_fog(25)_rain(0)_178.jpg,No_Signs,0,TN,0.0059,0,TN,0.0063,No,No change
With_Signs_time(16)_fog(0)_rain(0)_336.jpg,With_Signs,0,FN,0.0057,0,FN,0.0068,No,No change
With_Signs_time(16)_fog(0)_rain(25)_77.jpg,With_Signs,0,FN,0.0062,1,TP,0.0079,Yes,Improved
With_Signs_time(8)_fog(0)_rain(0)_153.jpg,With_Signs,0,FN,0.0056,0,FN,0.0066,No,No change
With_Signs_time(16)_fog(0)_rain(0)_341.jpg,With_Signs,0,FN,0.0074,0,FN,0.0079,No,No change
No_Signs_time(9)_fog(25)_rain(15)_48.jpg,No_Signs,0,TN,0.0065,0,TN,0.0113,No,No change
With_Signs_time(22)_fog(0)_rain(0)_122.jpg,With_Signs,1,TP,0.0065,1,TP,0.0125,No,No change
With_Signs_time(8)_fog(90)_rain(0)_162.jpg,With_Signs,1,TP,0.0062,1,TP,0.0071,No,No change
No_Signs_time(18)_fog(25)_rain(20)_18.jpg,No_Signs,0,TN,0.0057,0,TN,0.0066,No,No change
No_Signs_time(18)_fog(25)_rain(20)_19.jpg,No_Signs,0,TN,0.0056,0,TN,0.0060,No,No change
With_Signs_time(16)_fog(25)_rain(0)_95.jpg,With_Signs,1,TP,0.0064,1,TP,0.0083,No,No change
No_Signs_time(13)_fog(75)_rain(0)_4.jpg,No_Signs,0,TN,0.0056,0,TN,0.0120,No,No change
No_Signs_time(16)_fog(25)_rain(0)_199.jpg,No_Signs,0,TN,0.0057,0,TN,0.0097,No,No change
No_Signs_time(8)_fog(25)_rain(15)_300.jpg,No_Signs,0,TN,0.0057,0,TN,0.0068,No,No change
With_Signs_time(16)_fog(0)_rain(0)_344.jpg,With_Signs,0,FN,0.0061,0,FN,0.0058,No,No change
With_Signs_time(16)_fog(0)_rain(25)_78.jpg,With_Signs,1,TP,0.0113,1,TP,0.0071,No,No change
No_Signs_time(8)_fog(25)_rain(15)_288.jpg,No_Signs,0,TN,0.0111,0,TN,0.0058,No,No change
No_Signs_time(5)_fog(25)_rain(15)_238.jpg,No_Signs,0,TN,0.0068,0,TN,0.0095,No,No change
With_Signs_time(16)_fog(25)_rain(0)_101.jpg,With_Signs,1,TP,0.0062,2,TP,0.0136,Yes,Improved
With_Signs_time(8)_fog(90)_rain(0)_161.jpg,With_Signs,0,FN,0.0058,0,FN,0.0119,No,No change
With_Signs_time(22)_fog(0)_rain(0)_117.jpg,With_Signs,0,FN,0.0058,0,FN,0.0116,No,No change
No_Signs_time(16)_fog(25)_rain(0)_204.jpg,No_Signs,0,TN,0.0059,0,TN,0.0120,No,No change
With_Signs_time(8)_fog(90)_rain(0)_167.jpg,With_Signs,1,TP,0.0060,1,TP,0.0121,No,No change
No_Signs_time(6)_fog(25)_rain(0)_256.jpg,No_Signs,0,TN,0.0063,0,TN,0.0065,No,No change
With_Signs_time(8)_fog(90)_rain(0)_172.jpg,With_Signs,0,FN,0.0056,1,TP,0.0068,Yes,Improved
No_Signs_time(9)_fog(25)_rain(15)_47.jpg,No_Signs,0,TN,0.0057,0,TN,0.0065,No,No change
No_Signs_time(5)_fog(25)_rain(15)_233.jpg,No_Signs,0,TN,0.0083,0,TN,0.0067,No,No change
No_Signs_time(5)_fog(25)_rain(15)_218.jpg,No_Signs,0,TN,0.0068,0,TN,0.0078,No,No change
No_Signs_time(5)_fog(25)_rain(15)_230.jpg,No_Signs,0,TN,0.0066,0,TN,0.0065,No,No change
No_Signs_time(6)_fog(25)_rain(0)_259.jpg,No_Signs,0,TN,0.0094,0,TN,0.0082,No,No change
With_Signs_time(22)_fog(0)_rain(0)_119.jpg,With_Signs,0,FN,0.0065,0,FN,0.0073,No,No change
No_Signs_time(6)_fog(25)_rain(0)_280.jpg,No_Signs,0,TN,0.0061,0,TN,0.0066,No,No change
No_Signs_time(9)_fog(25)_rain(15)_53.jpg,No_Signs,0,TN,0.0071,0,TN,0.0068,No,No change
No_Signs_time(8)_fog(25)_rain(15)_285.jpg,No_Signs,0,TN,0.0060,0,TN,0.0063,No,No change
No_Signs_time(5)_fog(25)_rain(15)_225.jpg,No_Signs,0,TN,0.0065,0,TN,0.0062,No,No change
No_Signs_time(6)_fog(25)_rain(0)_278.jpg,No_Signs,0,TN,0.0057,0,TN,0.0063,No,No change
With_Signs_time(22)_fog(0)_rain(0)_126.jpg,With_Signs,1,TP,0.0064,1,TP,0.0066,No,No change
With_Signs_time(16)_fog(0)_rain(0)_68.jpg,With_Signs,1,TP,0.0062,1,TP,0.0063,No,No change
With_Signs_time(8)_fog(0)_rain(0)_149.jpg,With_Signs,1,TP,0.0062,1,TP,0.0075,No,No change
No_Signs_time(8)_fog(25)_rain(15)_293.jpg,No_Signs,0,TN,0.0058,0,TN,0.0057,No,No change
No_Signs_time(5)_fog(25)_rain(15)_226.jpg,No_Signs,0,TN,0.0060,0,TN,0.0057,No,No change
No_Signs_time(18)_fog(25)_rain(20)_16.jpg,No_Signs,0,TN,0.0095,0,TN,0.0059,No,No change
No_Signs_time(13)_fog(75)_rain(0)_13.jpg,No_Signs,0,TN,0.0074,0,TN,0.0128,No,No change
No_Signs_time(8)_fog(25)_rain(15)_309.jpg,No_Signs,0,TN,0.0061,0,TN,0.0081,No,No change
With_Signs_time(16)_fog(0)_rain(0)_63.jpg,With_Signs,0,FN,0.0089,0,FN,0.0068,No,No change
No_Signs_time(5)_fog(25)_rain(15)_223.jpg,No_Signs,0,TN,0.0056,0,TN,0.0088,No,No change
No_Signs_time(9)_fog(25)_rain(0)_43.jpg,No_Signs,0,TN,0.0060,0,TN,0.0090,No,No change
No_Signs_time(18)_fog(25)_rain(20)_23.jpg,No_Signs,0,TN,0.0067,0,TN,0.0059,No,No change
With_Signs_time(13)_fog(0)_rain(0)_323.jpg,With_Signs,1,TP,0.0062,1,TP,0.0075,No,No change
No_Signs_time(5)_fog(25)_rain(15)_240.jpg,No_Signs,0,TN,0.0063,0,TN,0.0058,No,No change
With_Signs_time(6)_fog(0)_rain(0)_347.jpg,With_Signs,0,FN,0.0057,0,FN,0.0104,No,No change
With_Signs_time(7)_fog(0)_rain(0)_358.jpg,With_Signs,1,TP,0.0060,1,TP,0.0107,No,No change
No_Signs_time(8)_fog(25)_rain(15)_296.jpg,No_Signs,0,TN,0.0060,0,TN,0.0063,No,No change
With_Signs_time(6)_fog(0)_rain(0)_346.jpg,With_Signs,0,FN,0.0069,1,TP,0.0065,Yes,Improved
With_Signs_time(16)_fog(90)_rain(25)_114.jpg,With_Signs,0,FN,0.0060,0,FN,0.0066,No,No change
No_Signs_time(16)_fog(25)_rain(0)_181.jpg,No_Signs,0,TN,0.0059,0,TN,0.0059,No,No change
No_Signs_time(6)_fog(25)_rain(0)_251.jpg,No_Signs,0,TN,0.0057,0,TN,0.0056,No,No change
No_Signs_time(13)_fog(75)_rain(0)_7.jpg,No_Signs,0,TN,0.0061,0,TN,0.0056,No,No change
No_Signs_time(16)_fog(25)_rain(0)_188.jpg,No_Signs,0,TN,0.0069,0,TN,0.0058,No,No change
With_Signs_time(16)_fog(25)_rain(0)_102.jpg,With_Signs,1,TP,0.0066,1,TP,0.0066,No,No change
No_Signs_time(16)_fog(25)_rain(0)_195.jpg,No_Signs,0,TN,0.0059,0,TN,0.0057,No,No change
With_Signs_time(8)_fog(0)_rain(0)_158.jpg,With_Signs,0,FN,0.0121,0,FN,0.0057,No,No change
With_Signs_time(16)_fog(0)_rain(0)_61.jpg,With_Signs,0,FN,0.0060,0,FN,0.0096,No,No change
No_Signs_time(18)_fog(25)_rain(20)_26.jpg,No_Signs,0,TN,0.0059,0,TN,0.0066,No,No change
No_Signs_time(6)_fog(25)_rain(0)_254.jpg,No_Signs,0,TN,0.0057,0,TN,0.0115,No,No change
With_Signs_time(22)_fog(0)_rain(25)_141.jpg,With_Signs,0,FN,0.0060,0,FN,0.0115,No,No change
With_Signs_time(16)_fog(0)_rain(0)_72.jpg,With_Signs,1,TP,0.0064,1,TP,0.0073,No,No change
With_Signs_time(16)_fog(0)_rain(25)_74.jpg,With_Signs,1,TP,0.0071,1,TP,0.0063,No,No change
With_Signs_time(16)_fog(25)_rain(0)_94.jpg,With_Signs,0,FN,0.0064,0,FN,0.0062,No,No change
No_Signs_time(5)_fog(25)_rain(15)_247.jpg,No_Signs,0,TN,0.0059,0,TN,0.0066,No,No change
With_Signs_time(13)_fog(0)_rain(0)_329.jpg,With_Signs,2,TP,0.0060,2,TP,0.0069,No,No change
With_Signs_time(22)_fog(0)_rain(25)_143.jpg,With_Signs,0,FN,0.0066,0,FN,0.0063,No,No change
No_Signs_time(6)_fog(25)_rain(0)_270.jpg,No_Signs,0,TN,0.0059,0,TN,0.0072,No,No change
With_Signs_time(16)_fog(0)_rain(0)_333.jpg,With_Signs,1,TP,0.0067,1,TP,0.0075,No,No change
With_Signs_time(16)_fog(0)_rain(0)_69.jpg,With_Signs,1,TP,0.0064,1,TP,0.0065,No,No change
With_Signs_time(22)_fog(0)_rain(0)_125.jpg,With_Signs,0,FN,0.0056,0,FN,0.0067,No,No change
No_Signs_time(13)_fog(75)_rain(0)_12.jpg,No_Signs,0,TN,0.0062,0,TN,0.0078,No,No change
No_Signs_time(5)_fog(25)_rain(15)_242.jpg,No_Signs,0,TN,0.0062,0,TN,0.0057,No,No change
No_Signs_time(9)_fog(25)_rain(0)_36.jpg,No_Signs,0,TN,0.0064,0,TN,0.0070,No,No change
No_Signs_time(6)_fog(25)_rain(0)_261.jpg,No_Signs,0,TN,0.0060,0,TN,0.0064,No,No change
No_Signs_time(8)_fog(25)_rain(15)_316.jpg,No_Signs,0,TN,0.0060,0,TN,0.0058,No,No change
No_Signs_time(5)_fog(25)_rain(15)_239.jpg,No_Signs,0,TN,0.0057,0,TN,0.0060,No,No change
No_Signs_time(16)_fog(25)_rain(0)_186.jpg,No_Signs,0,TN,0.0056,0,TN,0.0066,No,No change
With_Signs_time(22)_fog(0)_rain(25)_142.jpg,With_Signs,0,FN,0.0058,0,FN,0.0061,No,No change
No_Signs_time(6)_fog(25)_rain(0)_253.jpg,No_Signs,0,TN,0.0063,0,TN,0.0099,No,No change
No_Signs_time(9)_fog(25)_rain(0)_29.jpg,No_Signs,0,TN,0.0055,0,TN,0.0116,No,No change
With_Signs_time(13)_fog(0)_rain(0)_321.jpg,With_Signs,0,FN,0.0056,0,FN,0.0088,No,No change
No_Signs_time(18)_fog(25)_rain(20)_25.jpg,No_Signs,0,TN,0.0056,0,TN,0.0116,No,No change
With_Signs_time(8)_fog(0)_rain(0)_148.jpg,With_Signs,0,FN,0.0056,0,FN,0.0062,No,No change
No_Signs_time(5)_fog(25)_rain(15)_246.jpg,No_Signs,0,TN,0.0059,0,TN,0.0057,No,No change
With_Signs_time(16)_fog(0)_rain(0)_338.jpg,With_Signs,0,FN,0.0059,0,FN,0.0058,No,No change
No_Signs_time(9)_fog(25)_rain(15)_51.jpg,No_Signs,0,TN,0.0083,0,TN,0.0067,No,No change
No_Signs_time(5)_fog(25)_rain(15)_214.jpg,No_Signs,0,TN,0.0067,0,TN,0.0062,No,No change
No_Signs_time(5)_fog(25)_rain(15)_228.jpg,No_Signs,0,TN,0.0065,0,TN,0.0070,No,No change
With_Signs_time(16)_fog(0)_rain(25)_75.jpg,With_Signs,0,FN,0.0062,0,FN,0.0098,No,No change
No_Signs_time(16)_fog(25)_rain(0)_193.jpg,No_Signs,0,TN,0.0071,0,TN,0.0123,No,No change
No_Signs_time(5)_fog(25)_rain(15)_212.jpg,No_Signs,0,TN,0.0073,0,TN,0.0071,No,No change
With_Signs_time(22)_fog(0)_rain(25)_145.jpg,With_Signs,0,FN,0.0079,0,FN,0.0064,No,No change
With_Signs_time(16)_fog(90)_rain(25)_104.jpg,With_Signs,0,FN,0.0064,0,FN,0.0085,No,No change
With_Signs_time(16)_fog(0)_rain(25)_82.jpg,With_Signs,0,FN,0.0064,0,FN,0.0075,No,No change
With_Signs_time(6)_fog(0)_rain(0)_352.jpg,With_Signs,0,FN,0.0055,1,TP,0.0125,Yes,Improved
With_Signs_time(22)_fog(0)_rain(25)_140.jpg,With_Signs,0,FN,0.0059,0,FN,0.0117,No,No change
With_Signs_time(22)_fog(0)_rain(0)_120.jpg,With_Signs,0,FN,0.0056,0,FN,0.0107,No,No change
No_Signs_time(9)_fog(25)_rain(0)_38.jpg,No_Signs,0,TN,0.0063,0,TN,0.0058,No,No change
No_Signs_time(8)_fog(25)_rain(15)_311.jpg,No_Signs,0,TN,0.0055,0,TN,0.0079,No,No change
No_Signs_time(18)_fog(25)_rain(20)_27.jpg,No_Signs,0,TN,0.0060,0,TN,0.0114,No,No change
No_Signs_time(6)_fog(25)_rain(0)_277.jpg,No_Signs,0,TN,0.0065,0,TN,0.0109,No,No change
With_Signs_time(13)_fog(0)_rain(0)_328.jpg,With_Signs,1,TP,0.0129,3,TP,0.0127,Yes,Improved
No_Signs_time(9)_fog(25)_rain(15)_54.jpg,No_Signs,0,TN,0.0056,0,TN,0.0071,No,No change
With_Signs_time(8)_fog(90)_rain(0)_174.jpg,With_Signs,0,FN,0.0059,0,FN,0.0067,No,No change
No_Signs_time(16)_fog(25)_rain(0)_189.jpg,No_Signs,0,TN,0.0062,0,TN,0.0068,No,No change
No_Signs_time(5)_fog(25)_rain(15)_219.jpg,No_Signs,0,TN,0.0061,0,TN,0.0078,No,No change
No_Signs_time(5)_fog(25)_rain(15)_213.jpg,No_Signs,0,TN,0.0061,0,TN,0.0105,No,No change
With_Signs_time(22)_fog(0)_rain(0)_121.jpg,With_Signs,0,FN,0.0058,0,FN,0.0118,No,No change
No_Signs_time(16)_fog(25)_rain(0)_194.jpg,No_Signs,0,TN,0.0055,0,TN,0.0117,No,No change
With_Signs_time(16)_fog(90)_rain(25)_107.jpg,With_Signs,0,FN,0.0056,0,FN,0.0062,No,No change
No_Signs_time(6)_fog(25)_rain(0)_275.jpg,No_Signs,0,TN,0.0062,0,TN,0.0061,No,No change
With_Signs_time(16)_fog(90)_rain(25)_108.jpg,With_Signs,0,FN,0.0058,0,FN,0.0069,No,No change
With_Signs_time(22)_fog(0)_rain(25)_133.jpg,With_Signs,0,FN,0.0059,0,FN,0.0069,No,No change
With_Signs_time(8)_fog(90)_rain(0)_170.jpg,With_Signs,0,FN,0.0059,0,FN,0.0063,No,No change
No_Signs_time(8)_fog(25)_rain(15)_289.jpg,No_Signs,0,TN,0.0055,0,TN,0.0071,No,No change
No_Signs_time(16)_fog(25)_rain(0)_208.jpg,No_Signs,0,TN,0.0065,0,TN,0.0108,No,No change
With_Signs_time(6)_fog(0)_rain(0)_356.jpg,With_Signs,2,TP,0.0070,1,TP,0.0120,Yes,Worsened
With_Signs_time(16)_fog(0)_rain(0)_65.jpg,With_Signs,1,TP,0.0133,1,TP,0.0140,No,No change
With_Signs_time(8)_fog(90)_rain(0)_175.jpg,With_Signs,0,FN,0.0055,1,TP,0.0107,Yes,Improved
No_Signs_time(8)_fog(25)_rain(15)_292.jpg,No_Signs,0,TN,0.0058,0,TN,0.0060,No,No change
With_Signs_time(16)_fog(25)_rain(0)_100.jpg,With_Signs,1,TP,0.0062,1,TP,0.0079,No,No change
With_Signs_time(16)_fog(0)_rain(25)_85.jpg,With_Signs,0,FN,0.0072,0,FN,0.0104,No,No change
No_Signs_time(8)_fog(25)_rain(15)_283.jpg,No_Signs,0,TN,0.0062,0,TN,0.0124,No,No change
No_Signs_time(16)_fog(25)_rain(0)_198.jpg,No_Signs,0,TN,0.0071,0,TN,0.0126,No,No change
No_Signs_time(6)_fog(25)_rain(0)_281.jpg,No_Signs,0,TN,0.0064,0,TN,0.0061,No,No change
With_Signs_time(16)_fog(25)_rain(0)_90.jpg,With_Signs,1,TP,0.0070,1,TP,0.0064,No,No change
No_Signs_time(8)_fog(25)_rain(15)_284.jpg,No_Signs,0,TN,0.0068,0,TN,0.0059,No,No change
With_Signs_time(16)_fog(0)_rain(0)_58.jpg,With_Signs,0,FN,0.0066,0,FN,0.0058,No,No change
No_Signs_time(13)_fog(75)_rain(0)_15.jpg,No_Signs,0,TN,0.0067,0,TN,0.0061,No,No change
With_Signs_time(6)_fog(0)_rain(0)_353.jpg,With_Signs,1,TP,0.0063,1,TP,0.0093,No,No change
With_Signs_time(13)_fog(0)_rain(0)_320.jpg,With_Signs,1,TP,0.0062,1,TP,0.0139,No,No change
With_Signs_time(16)_fog(90)_rain(25)_109.jpg,With_Signs,0,FN,0.0063,0,FN,0.0070,No,No change
No_Signs_time(5)_fog(25)_rain(15)_224.jpg,No_Signs,0,TN,0.0062,0,TN,0.0075,No,No change
No_Signs_time(5)_fog(25)_rain(15)_244.jpg,No_Signs,0,TN,0.0058,0,TN,0.0066,No,No change
No_Signs_time(13)_fog(75)_rain(0)_6.jpg,No_Signs,0,TN,0.0057,0,TN,0.0060,No,No change
With_Signs_time(16)_fog(90)_rain(25)_113.jpg,With_Signs,0,FN,0.0058,0,FN,0.0066,No,No change
With_Signs_time(16)_fog(0)_rain(0)_339.jpg,With_Signs,1,TP,0.0067,1,TP,0.0069,No,No change
No_Signs_time(8)_fog(25)_rain(15)_312.jpg,No_Signs,0,TN,0.0062,0,TN,0.0063,No,No change
No_Signs_time(9)_fog(25)_rain(0)_31.jpg,No_Signs,0,TN,0.0060,0,TN,0.0074,No,No change
No_Signs_time(16)_fog(25)_rain(0)_203.jpg,No_Signs,0,TN,0.0076,0,TN,0.0067,No,No change
No_Signs_time(8)_fog(25)_rain(15)_303.jpg,No_Signs,0,TN,0.0061,0,TN,0.0064,No,No change
With_Signs_time(8)_fog(0)_rain(0)_157.jpg,With_Signs,0,FN,0.0055,0,FN,0.0065,No,No change
No_Signs_time(9)_fog(25)_rain(0)_34.jpg,No_Signs,0,TN,0.0055,0,TN,0.0060,No,No change
No_Signs_time(5)_fog(25)_rain(15)_227.jpg,No_Signs,0,TN,0.0061,0,TN,0.0070,No,No change
No_Signs_time(8)_fog(25)_rain(15)_291.jpg,No_Signs,0,TN,0.0059,0,TN,0.0111,No,No change
No_Signs_time(18)_fog(25)_rain(20)_22.jpg,No_Signs,0,TN,0.0062,0,TN,0.0077,No,No change
No_Signs_time(8)_fog(25)_rain(15)_317.jpg,No_Signs,0,TN,0.0060,0,TN,0.0074,No,No change
With_Signs_time(16)_fog(25)_rain(0)_91.jpg,With_Signs,1,TP,0.0066,1,TP,0.0078,No,No change
With_Signs_time(22)_fog(0)_rain(25)_144.jpg,With_Signs,0,FN,0.0081,0,FN,0.0074,No,No change
No_Signs_time(5)_fog(25)_rain(15)_210.jpg,No_Signs,0,TN,0.0057,0,TN,0.0065,No,No change
No_Signs_time(16)_fog(25)_rain(0)_205.jpg,No_Signs,0,TN,0.0055,0,TN,0.0071,No,No change
With_Signs_time(13)_fog(0)_rain(0)_330.jpg,With_Signs,1,TP,0.0072,1,TP,0.0074,No,No change
With_Signs_time(16)_fog(0)_rain(0)_67.jpg,With_Signs,0,FN,0.0059,1,TP,0.0072,Yes,Improved
With_Signs_time(6)_fog(0)_rain(0)_350.jpg,With_Signs,2,TP,0.0060,2,TP,0.0069,No,No change
No_Signs_time(8)_fog(25)_rain(15)_304.jpg,No_Signs,0,TN,0.0058,0,TN,0.0064,No,No change
No_Signs_time(9)_fog(25)_rain(15)_50.jpg,No_Signs,0,TN,0.0059,0,TN,0.0064,No,No change
With_Signs_time(22)_fog(0)_rain(0)_128.jpg,With_Signs,0,FN,0.0062,0,FN,0.0056,No,No change
With_Signs_time(13)_fog(0)_rain(0)_319.jpg,With_Signs,1,TP,0.0064,1,TP,0.0061,No,No change
No_Signs_time(16)_fog(25)_rain(0)_200.jpg,No_Signs,0,TN,0.0058,0,TN,0.0066,No,No change
No_Signs_time(16)_fog(25)_rain(0)_191.jpg,No_Signs,0,TN,0.0057,0,TN,0.0061,No,No change
With_Signs_time(16)_fog(0)_rain(0)_332.jpg,With_Signs,1,TP,0.0150,1,TP,0.0078,No,No change
With_Signs_time(16)_fog(25)_rain(0)_99.jpg,With_Signs,0,FN,0.0083,0,FN,0.0064,No,No change
No_Signs_time(16)_fog(25)_rain(0)_202.jpg,No_Signs,0,TN,0.0114,0,TN,0.0058,No,No change
No_Signs_time(5)_fog(25)_rain(15)_211.jpg,No_Signs,0,TN,0.0106,0,TN,0.0063,No,No change
With_Signs_time(22)_fog(0)_rain(0)_124.jpg,With_Signs,0,FN,0.0058,0,FN,0.0058,No,No change
With_Signs_time(8)_fog(90)_rain(0)_173.jpg,With_Signs,1,TP,0.0114,1,TP,0.0061,No,No change
With_Signs_time(8)_fog(0)_rain(0)_152.jpg,With_Signs,0,FN,0.0062,0,FN,0.0067,No,No change
With_Signs_time(8)_fog(90)_rain(0)_165.jpg,With_Signs,1,TP,0.0070,1,TP,0.0072,No,No change
With_Signs_time(6)_fog(0)_rain(0)_354.jpg,With_Signs,0,FN,0.0067,0,FN,0.0061,No,No change
With_Signs_time(16)_fog(25)_rain(0)_89.jpg,With_Signs,0,FN,0.0060,0,FN,0.0062,No,No change
No_Signs_time(16)_fog(25)_rain(0)_176.jpg,No_Signs,0,TN,0.0064,0,TN,0.0064,No,No change
